,entity,code,year,adult_literacy_rate__population_15plus_years__both_sexes__pct__lr_ag15t99
0,Afghanistan,AFG,1979,18.16
1,Afghanistan,AFG,2011,31.45
2,Afghanistan,AFG,2015,33.75
3,Afghanistan,AFG,2020,36.014965
4,Afghanistan,AFG,2021,37.27
5,Albania,ALB,2001,98.71
6,Albania,ALB,2008,95.94
7,Albania,ALB,2011,96.85
8,Albania,ALB,2012,97.25
9,Albania,ALB,2017,98.81
10,Albania,ALB,2023,97.68
11,Algeria,DZA,1987,49.63
12,Algeria,DZA,2002,69.87
13,Algeria,DZA,2006,72.65
14,Algeria,DZA,2008,75.14
15,American Samoa,ASM,1980,97.34
16,Angola,AGO,2001,67.41
17,Angola,AGO,2014,66.03
18,Angola,AGO,2015,66.24
19,Angola,AGO,2023,68.18
20,Anguilla,AIA,1984,95.41
21,Antigua and Barbuda,ATG,2001,98.95
22,Argentina,ARG,1980,93.91
23,Argentina,ARG,1991,96.04
24,Argentina,ARG,2001,97.19
25,Argentina,ARG,2020,99.14
26,Armenia,ARM,1989,98.75
27,Armenia,ARM,2001,99.4
28,Armenia,ARM,2011,99.74
29,Armenia,ARM,2016,99.74
30,Armenia,ARM,2017,99.74
31,Armenia,ARM,2018,100.0
32,Armenia,ARM,2019,100.0
33,Armenia,ARM,2020,99.79
34,Armenia,ARM,2022,99.82
35,Armenia,ARM,2023,99.84
36,Aruba,ABW,2000,97.29
37,Aruba,ABW,2010,96.82
38,Azerbaijan,AZE,1999,98.79
39,Azerbaijan,AZE,2007,99.59
40,Azerbaijan,AZE,2009,99.76
41,Azerbaijan,AZE,2010,99.77
42,Azerbaijan,AZE,2011,99.78
43,Azerbaijan,AZE,2012,99.78
44,Azerbaijan,AZE,2013,99.79
45,Azerbaijan,AZE,2014,99.79
46,Azerbaijan,AZE,2015,99.79
47,Azerbaijan,AZE,2016,99.79
48,Azerbaijan,AZE,2017,99.79
49,Azerbaijan,AZE,2019,99.8
50,Azerbaijan,AZE,2023,99.78
51,Bahrain,BHR,1981,69.75
52,Bahrain,BHR,1991,84.01
53,Bahrain,BHR,2001,86.55
54,Bahrain,BHR,2022,97.87
55,Bahrain,BHR,2023,97.85
56,Bahrain,BHR,2024,97.82
57,Bangladesh,BGD,1981,29.23
58,Bangladesh,BGD,1991,35.32
59,Bangladesh,BGD,2001,47.49
60,Bangladesh,BGD,2011,58.77
61,Bangladesh,BGD,2012,57.86
62,Bangladesh,BGD,2013,61.02
63,Bangladesh,BGD,2014,61.09
64,Bangladesh,BGD,2015,65.14
65,Bangladesh,BGD,2016,72.76
66,Bangladesh,BGD,2017,72.89
67,Bangladesh,BGD,2018,73.91
68,Bangladesh,BGD,2019,74.68
69,Bangladesh,BGD,2020,74.91
70,Bangladesh,BGD,2021,76.36
71,Bangladesh,BGD,2022,79.0
72,Barbados,BRB,1970,99.27
73,Belarus,BLR,1989,97.88
74,Belarus,BLR,1999,99.59
75,Belarus,BLR,2009,99.62
76,Belarus,BLR,2019,99.87
77,Belize,BLZ,1991,70.3
78,Belize,BLZ,2000,76.9
79,Belize,BLZ,2015,90.92
80,Belize,BLZ,2022,87.88
81,Benin,BEN,1979,16.48
82,Benin,BEN,1992,27.25
83,Benin,BEN,2002,34.66
84,Benin,BEN,2011,44.68812
85,Benin,BEN,2013,45.08
86,Benin,BEN,2017,38.87
87,Benin,BEN,2019,49.0
88,Benin,BEN,2021,43.83
89,Benin,BEN,2022,51.38
90,Bhutan,BTN,2005,52.81
91,Bhutan,BTN,2012,55.32
92,Bhutan,BTN,2017,66.56
93,Bhutan,BTN,2022,64.91
94,Bolivia,BOL,1976,63.21
95,Bolivia,BOL,1992,79.99
96,Bolivia,BOL,2001,86.72
97,Bolivia,BOL,2007,90.29
98,Bolivia,BOL,2008,90.7
99,Bolivia,BOL,2009,91.17
100,Bolivia,BOL,2011,92.23
101,Bolivia,BOL,2012,94.46
102,Bolivia,BOL,2015,92.46
103,Bolivia,BOL,2020,93.85
104,Bolivia,BOL,2023,95.55
105,Bolivia,BOL,2024,96.73
106,Bosnia and Herzegovina,BIH,1991,89.06
107,Bosnia and Herzegovina,BIH,2000,96.66
108,Bosnia and Herzegovina,BIH,2013,96.99
109,Botswana,BWA,1991,68.58
110,Botswana,BWA,2003,81.19
111,Brazil,BRA,1980,74.59
112,Brazil,BRA,2000,86.37
113,Brazil,BRA,2004,88.62
114,Brazil,BRA,2006,89.62
115,Brazil,BRA,2007,90.01
116,Brazil,BRA,2008,90.04
117,Brazil,BRA,2009,90.3
118,Brazil,BRA,2010,90.38
119,Brazil,BRA,2011,91.41
120,Brazil,BRA,2012,91.34
121,Brazil,BRA,2013,91.48
122,Brazil,BRA,2014,91.73
123,Brazil,BRA,2015,92.05
124,Brazil,BRA,2016,92.81
125,Brazil,BRA,2017,93.08
126,Brazil,BRA,2018,93.23
127,Brazil,BRA,2019,93.892624
128,Brazil,BRA,2020,94.74441
129,Brazil,BRA,2021,94.77261
130,Brazil,BRA,2022,94.37687
131,Brazil,BRA,2023,94.57255
132,Brazil,BRA,2024,94.74
133,Brunei,BRN,1981,77.74
134,Brunei,BRN,1991,87.8
135,Brunei,BRN,2001,92.67
136,Brunei,BRN,2011,96.09
137,Bulgaria,BGR,2001,98.2
138,Bulgaria,BGR,2011,98.35
139,Burkina Faso,BFA,1975,8.83
140,Burkina Faso,BFA,1991,13.57
141,Burkina Faso,BFA,1996,12.85
142,Burkina Faso,BFA,2003,21.82
143,Burkina Faso,BFA,2005,23.52
144,Burkina Faso,BFA,2006,22.47
145,Burkina Faso,BFA,2007,27.88
146,Burkina Faso,BFA,2014,34.6
147,Burkina Faso,BFA,2018,39.35
148,Burkina Faso,BFA,2019,29.66
149,Burkina Faso,BFA,2021,36.97
150,Burkina Faso,BFA,2022,40.92
151,Burkina Faso,BFA,2023,41.567093
152,Burundi,BDI,1979,22.51
153,Burundi,BDI,1990,37.38
154,Burundi,BDI,2000,59.3
155,Burundi,BDI,2008,48.08
156,Burundi,BDI,2014,61.29
157,Burundi,BDI,2016,65.69
158,Burundi,BDI,2017,68.38
159,Burundi,BDI,2020,71.33748
160,Cambodia,KHM,1998,67.34
161,Cambodia,KHM,2004,73.61
162,Cambodia,KHM,2008,76.87
163,Cambodia,KHM,2009,76.14
164,Cambodia,KHM,2013,79.65
165,Cambodia,KHM,2014,78.06
166,Cambodia,KHM,2015,80.53
167,Cambodia,KHM,2019,87.66
168,Cambodia,KHM,2020,82.55104
169,Cambodia,KHM,2021,71.93
170,Cameroon,CMR,1976,41.22
171,Cameroon,CMR,2000,68.41
172,Cameroon,CMR,2007,70.68
173,Cameroon,CMR,2010,71.19
174,Cameroon,CMR,2018,72.55
175,Cape Verde,CPV,1990,62.8
176,Cape Verde,CPV,2009,82.218956
177,Cape Verde,CPV,2012,85.33
178,Cape Verde,CPV,2015,86.79
179,Cape Verde,CPV,2024,88.47
180,Cayman Islands,CYM,2007,98.87
181,Cayman Islands,CYM,2017,98.87
182,Central African Republic,CAF,1975,18.24
183,Central African Republic,CAF,1988,33.62
184,Central African Republic,CAF,2000,50.65
185,Central African Republic,CAF,2019,42.44
186,Central and Southern Asia (SDG),,1975,38.64
187,Central and Southern Asia (SDG),,1976,38.7
188,Central and Southern Asia (SDG),,1977,39.37
189,Central and Southern Asia (SDG),,1978,40.04
190,Central and Southern Asia (SDG),,1979,40.69
191,Central and Southern Asia (SDG),,1980,41.32
192,Central and Southern Asia (SDG),,1981,41.92
193,Central and Southern Asia (SDG),,1982,42.59
194,Central and Southern Asia (SDG),,1983,43.31
195,Central and Southern Asia (SDG),,1984,43.97
196,Central and Southern Asia (SDG),,1985,44.62
197,Central and Southern Asia (SDG),,1986,45.29
198,Central and Southern Asia (SDG),,1987,45.95
199,Central and Southern Asia (SDG),,1988,46.65
200,Central and Southern Asia (SDG),,1989,47.41
201,Central and Southern Asia (SDG),,1990,48.39
202,Central and Southern Asia (SDG),,1991,49.09
203,Central and Southern Asia (SDG),,1992,50.02
204,Central and Southern Asia (SDG),,1993,50.95
205,Central and Southern Asia (SDG),,1994,51.66
206,Central and Southern Asia (SDG),,1995,52.5
207,Central and Southern Asia (SDG),,1996,53.3
208,Central and Southern Asia (SDG),,1997,54.09
209,Central and Southern Asia (SDG),,1998,58.56
210,Central and Southern Asia (SDG),,1999,59.33
211,Central and Southern Asia (SDG),,2000,60.1
212,Central and Southern Asia (SDG),,2001,60.9
213,Central and Southern Asia (SDG),,2002,61.71
214,Central and Southern Asia (SDG),,2003,62.61
215,Central and Southern Asia (SDG),,2004,63.39
216,Central and Southern Asia (SDG),,2005,63.29
217,Central and Southern Asia (SDG),,2006,63.41
218,Central and Southern Asia (SDG),,2007,64.22
219,Central and Southern Asia (SDG),,2008,65.25
220,Central and Southern Asia (SDG),,2009,66.07
221,Central and Southern Asia (SDG),,2010,68.44
222,Central and Southern Asia (SDG),,2011,68.79
223,Central and Southern Asia (SDG),,2012,68.87
224,Central and Southern Asia (SDG),,2013,69.82
225,Central and Southern Asia (SDG),,2014,70.52
226,Central and Southern Asia (SDG),,2015,71.76
227,Central and Southern Asia (SDG),,2016,72.99
228,Central and Southern Asia (SDG),,2017,73.52
229,Central and Southern Asia (SDG),,2018,74.02
230,Central and Southern Asia (SDG),,2019,73.87
231,Central and Southern Asia (SDG),,2020,74.55
232,Central and Southern Asia (SDG),,2021,75.3
233,Central and Southern Asia (SDG),,2022,76.08
234,Central and Southern Asia (SDG),,2023,76.74
235,Central and Southern Asia (SDG),,2024,77.38
236,Chad,TCD,1993,10.89
237,Chad,TCD,2000,25.65
238,Chad,TCD,2004,28.38
239,Chad,TCD,2016,22.31
240,Chad,TCD,2019,30.63
241,Chile,CHL,1982,91.13
242,Chile,CHL,1992,94.29
243,Chile,CHL,2002,95.72
244,Chile,CHL,2011,96.7
245,Chile,CHL,2013,96.27
246,Chile,CHL,2015,96.87
247,Chile,CHL,2017,96.4
248,China,CHN,1982,65.51
249,China,CHN,1990,77.79
250,China,CHN,2000,90.92
251,China,CHN,2010,95.12
252,China,CHN,2020,96.74
253,Colombia,COL,1993,91.06
254,Colombia,COL,1996,91.21
255,Colombia,COL,2004,92.8
256,Colombia,COL,2005,92.85
257,Colombia,COL,2006,92.3
258,Colombia,COL,2007,92.65
259,Colombia,COL,2008,93.38
260,Colombia,COL,2009,93.24
261,Colombia,COL,2010,93.37
262,Colombia,COL,2011,93.58
263,Colombia,COL,2014,94.19
264,Colombia,COL,2015,94.25
265,Colombia,COL,2016,94.65
266,Colombia,COL,2017,94.88739
267,Colombia,COL,2018,95.09
268,Colombia,COL,2019,95.25
269,Colombia,COL,2020,95.64
270,Colombia,COL,2021,95.66065
271,Colombia,COL,2022,95.31031
272,Colombia,COL,2023,95.45663
273,Colombia,COL,2024,95.34
274,Comoros,COM,1980,47.92
275,Comoros,COM,2000,68.25
276,Comoros,COM,2014,73.6495
277,Comoros,COM,2021,75.6202
278,Congo,COG,1984,59.62
279,Congo,COG,2005,76.11
280,Costa Rica,CRI,1984,92.63
281,Costa Rica,CRI,2000,94.87
282,Costa Rica,CRI,2011,97.41
283,Cote d'Ivoire,CIV,1988,34.14
284,Cote d'Ivoire,CIV,1998,36.35
285,Cote d'Ivoire,CIV,2000,48.74
286,Cote d'Ivoire,CIV,2014,43.91
287,Cote d'Ivoire,CIV,2016,50.04
288,Cote d'Ivoire,CIV,2019,56.95924
289,Cote d'Ivoire,CIV,2021,50.0
290,Croatia,HRV,1991,96.7
291,Croatia,HRV,2001,98.15
292,Cuba,CUB,1981,97.85
293,Cuba,CUB,2002,99.8
294,Cuba,CUB,2012,99.67
295,Cuba,CUB,2019,97.65
296,Cyprus,CYP,1992,94.36
297,Cyprus,CYP,2001,96.8
298,Cyprus,CYP,2011,98.68
299,Democratic Republic of Congo,COD,2001,67.17
300,Democratic Republic of Congo,COD,2012,75.02
301,Democratic Republic of Congo,COD,2016,77.04
302,Democratic Republic of Congo,COD,2018,73.55
303,Democratic Republic of Congo,COD,2020,65.68288
304,Democratic Republic of Congo,COD,2023,68.5
305,Dominican Republic,DOM,1981,73.06
306,Dominican Republic,DOM,2002,87.0
307,Dominican Republic,DOM,2007,88.24
308,Dominican Republic,DOM,2010,89.54
309,Dominican Republic,DOM,2011,90.11
310,Dominican Republic,DOM,2012,90.16
311,Dominican Republic,DOM,2013,90.86
312,Dominican Republic,DOM,2014,91.76
313,Dominican Republic,DOM,2015,91.99
314,Dominican Republic,DOM,2016,93.78
315,Dominican Republic,DOM,2017,93.233215
316,Dominican Republic,DOM,2018,93.43606
317,Dominican Republic,DOM,2019,93.67269
318,Dominican Republic,DOM,2020,93.692635
319,Dominican Republic,DOM,2021,93.73097
320,Dominican Republic,DOM,2022,93.70224
321,Dominican Republic,DOM,2023,94.31238
322,Dominican Republic,DOM,2024,94.03
323,East Asia and Pacific (WB),WB_EAP,1976,65.99
324,East Asia and Pacific (WB),WB_EAP,1977,66.2
325,East Asia and Pacific (WB),WB_EAP,1978,67.29
326,East Asia and Pacific (WB),WB_EAP,1979,68.52
327,East Asia and Pacific (WB),WB_EAP,1980,69.61
328,East Asia and Pacific (WB),WB_EAP,1981,70.64
329,East Asia and Pacific (WB),WB_EAP,1982,71.61
330,East Asia and Pacific (WB),WB_EAP,1983,72.53
331,East Asia and Pacific (WB),WB_EAP,1984,73.51
332,East Asia and Pacific (WB),WB_EAP,1985,74.43
333,East Asia and Pacific (WB),WB_EAP,1986,75.26
334,East Asia and Pacific (WB),WB_EAP,1987,76.41
335,East Asia and Pacific (WB),WB_EAP,1988,80.14
336,East Asia and Pacific (WB),WB_EAP,1989,80.76
337,East Asia and Pacific (WB),WB_EAP,1990,81.33
338,East Asia and Pacific (WB),WB_EAP,1991,81.84
339,East Asia and Pacific (WB),WB_EAP,1992,82.33
340,East Asia and Pacific (WB),WB_EAP,1993,82.77
341,East Asia and Pacific (WB),WB_EAP,1994,83.3
342,East Asia and Pacific (WB),WB_EAP,1995,83.84
343,East Asia and Pacific (WB),WB_EAP,1996,84.3
344,East Asia and Pacific (WB),WB_EAP,1997,89.27
345,East Asia and Pacific (WB),WB_EAP,1998,89.63
346,East Asia and Pacific (WB),WB_EAP,1999,89.95
347,East Asia and Pacific (WB),WB_EAP,2000,90.31
348,East Asia and Pacific (WB),WB_EAP,2001,90.63
349,East Asia and Pacific (WB),WB_EAP,2002,90.98
350,East Asia and Pacific (WB),WB_EAP,2003,91.35
351,East Asia and Pacific (WB),WB_EAP,2004,91.68
352,East Asia and Pacific (WB),WB_EAP,2005,92.02
353,East Asia and Pacific (WB),WB_EAP,2006,92.37
354,East Asia and Pacific (WB),WB_EAP,2007,93.51
355,East Asia and Pacific (WB),WB_EAP,2008,93.82
356,East Asia and Pacific (WB),WB_EAP,2009,94.09
357,East Asia and Pacific (WB),WB_EAP,2010,94.08
358,East Asia and Pacific (WB),WB_EAP,2011,94.3
359,East Asia and Pacific (WB),WB_EAP,2012,94.54
360,East Asia and Pacific (WB),WB_EAP,2013,94.62
361,East Asia and Pacific (WB),WB_EAP,2014,95.09
362,East Asia and Pacific (WB),WB_EAP,2015,95.3
363,East Asia and Pacific (WB),WB_EAP,2016,95.5
364,East Asia and Pacific (WB),WB_EAP,2017,95.69
365,East Asia and Pacific (WB),WB_EAP,2018,95.73
366,East Asia and Pacific (WB),WB_EAP,2019,95.87
367,East Asia and Pacific (WB),WB_EAP,2020,96.09
368,East Asia and Pacific (WB),WB_EAP,2021,96.22
369,East Asia and Pacific (WB),WB_EAP,2022,96.36
370,East Asia and Pacific (WB),WB_EAP,2023,96.49
371,East Asia and Pacific (WB),WB_EAP,2024,96.61
372,East Timor,TLS,2001,37.6
373,East Timor,TLS,2007,50.6
374,East Timor,TLS,2010,58.31
375,East Timor,TLS,2015,64.45
376,East Timor,TLS,2016,65.78
377,East Timor,TLS,2022,69.4
378,Eastern and South-Eastern Asia (SDG),,1976,65.78
379,Eastern and South-Eastern Asia (SDG),,1977,65.99
380,Eastern and South-Eastern Asia (SDG),,1978,67.09
381,Eastern and South-Eastern Asia (SDG),,1979,68.34
382,Eastern and South-Eastern Asia (SDG),,1980,69.45
383,Eastern and South-Eastern Asia (SDG),,1981,70.5
384,Eastern and South-Eastern Asia (SDG),,1982,71.47
385,Eastern and South-Eastern Asia (SDG),,1983,72.41
386,Eastern and South-Eastern Asia (SDG),,1984,73.4
387,Eastern and South-Eastern Asia (SDG),,1985,74.34
388,Eastern and South-Eastern Asia (SDG),,1986,75.17
389,Eastern and South-Eastern Asia (SDG),,1987,76.34
390,Eastern and South-Eastern Asia (SDG),,1988,80.13
391,Eastern and South-Eastern Asia (SDG),,1989,80.76
392,Eastern and South-Eastern Asia (SDG),,1990,81.34
393,Eastern and South-Eastern Asia (SDG),,1991,81.86
394,Eastern and South-Eastern Asia (SDG),,1992,82.35
395,Eastern and South-Eastern Asia (SDG),,1993,82.8
396,Eastern and South-Eastern Asia (SDG),,1994,83.35
397,Eastern and South-Eastern Asia (SDG),,1995,83.89
398,Eastern and South-Eastern Asia (SDG),,1996,84.35
399,Eastern and South-Eastern Asia (SDG),,1997,89.4
400,Eastern and South-Eastern Asia (SDG),,1998,89.75
401,Eastern and South-Eastern Asia (SDG),,1999,90.08
402,Eastern and South-Eastern Asia (SDG),,2000,90.44
403,Eastern and South-Eastern Asia (SDG),,2001,90.76
404,Eastern and South-Eastern Asia (SDG),,2002,91.12
405,Eastern and South-Eastern Asia (SDG),,2003,91.49
406,Eastern and South-Eastern Asia (SDG),,2004,91.83
407,Eastern and South-Eastern Asia (SDG),,2005,92.17
408,Eastern and South-Eastern Asia (SDG),,2006,92.52
409,Eastern and South-Eastern Asia (SDG),,2007,93.68
410,Eastern and South-Eastern Asia (SDG),,2008,93.99
411,Eastern and South-Eastern Asia (SDG),,2009,94.26
412,Eastern and South-Eastern Asia (SDG),,2010,94.25
413,Eastern and South-Eastern Asia (SDG),,2011,94.48
414,Eastern and South-Eastern Asia (SDG),,2012,94.72
415,Eastern and South-Eastern Asia (SDG),,2013,94.8
416,Eastern and South-Eastern Asia (SDG),,2014,95.29
417,Eastern and South-Eastern Asia (SDG),,2015,95.51
418,Eastern and South-Eastern Asia (SDG),,2016,95.71
419,Eastern and South-Eastern Asia (SDG),,2017,95.91
420,Eastern and South-Eastern Asia (SDG),,2018,95.96
421,Eastern and South-Eastern Asia (SDG),,2019,96.1
422,Eastern and South-Eastern Asia (SDG),,2020,96.33
423,Eastern and South-Eastern Asia (SDG),,2021,96.47
424,Eastern and South-Eastern Asia (SDG),,2022,96.61
425,Eastern and South-Eastern Asia (SDG),,2023,96.74
426,Eastern and South-Eastern Asia (SDG),,2024,96.87
427,Ecuador,ECU,1982,83.55
428,Ecuador,ECU,1990,88.3
429,Ecuador,ECU,2001,90.98
430,Ecuador,ECU,2007,92.1
431,Ecuador,ECU,2008,92.39
432,Ecuador,ECU,2009,92.25
433,Ecuador,ECU,2010,91.85
434,Ecuador,ECU,2011,91.59
435,Ecuador,ECU,2012,92.06
436,Ecuador,ECU,2013,93.29
437,Ecuador,ECU,2014,94.22
438,Ecuador,ECU,2015,94.46
439,Ecuador,ECU,2016,94.35
440,Ecuador,ECU,2017,92.83
441,Ecuador,ECU,2020,93.63
442,Ecuador,ECU,2021,94.48
443,Ecuador,ECU,2022,96.26
444,Ecuador,ECU,2024,93.49
445,Egypt,EGY,1976,38.2
446,Egypt,EGY,1986,44.42
447,Egypt,EGY,1996,55.59
448,Egypt,EGY,2005,67.33
449,Egypt,EGY,2006,66.37
450,Egypt,EGY,2010,72.05
451,Egypt,EGY,2012,73.87
452,Egypt,EGY,2013,72.44
453,Egypt,EGY,2017,71.17
454,Egypt,EGY,2021,82.08038
455,Egypt,EGY,2022,79.45316
456,El Salvador,SLV,1992,74.14
457,El Salvador,SLV,2006,83.56
458,El Salvador,SLV,2007,82.03
459,El Salvador,SLV,2008,83.95
460,El Salvador,SLV,2009,84.1
461,El Salvador,SLV,2010,84.49
462,El Salvador,SLV,2011,85.49
463,El Salvador,SLV,2012,85.462456
464,El Salvador,SLV,2013,86.77
465,El Salvador,SLV,2014,87.41254
466,El Salvador,SLV,2015,87.97
467,El Salvador,SLV,2016,88.14
468,El Salvador,SLV,2017,88.48
469,El Salvador,SLV,2018,89.01
470,El Salvador,SLV,2019,89.14
471,El Salvador,SLV,2020,89.98
472,El Salvador,SLV,2021,89.05865
473,El Salvador,SLV,2022,89.353714
474,El Salvador,SLV,2023,89.85
475,El Salvador,SLV,2024,89.77
476,Equatorial Guinea,GNQ,2000,88.31
477,Eritrea,ERI,2002,52.51
478,Eritrea,ERI,2008,64.66
479,Estonia,EST,1989,99.73
480,Estonia,EST,2000,99.77
481,Estonia,EST,2011,99.89
482,Eswatini,SWZ,1976,55.33
483,Eswatini,SWZ,1986,67.24
484,Eswatini,SWZ,2000,81.66
485,Eswatini,SWZ,2022,90.75
486,Ethiopia,ETH,1994,27.01
487,Ethiopia,ETH,2004,35.9
488,Ethiopia,ETH,2007,39.0
489,Ethiopia,ETH,2013,48.354973
490,Ethiopia,ETH,2016,47.49
491,Ethiopia,ETH,2019,55.05
492,Ethiopia,ETH,2021,54.88537
493,Ethiopia,ETH,2022,60.46
494,Europe and Central Asia (WB),WB_ECA,1994,95.8
495,Europe and Central Asia (WB),WB_ECA,1995,95.95
496,Europe and Central Asia (WB),WB_ECA,1996,96.13
497,Europe and Central Asia (WB),WB_ECA,1997,96.26
498,Europe and Central Asia (WB),WB_ECA,1998,96.42
499,Europe and Central Asia (WB),WB_ECA,1999,96.54
500,Europe and Central Asia (WB),WB_ECA,2000,96.64
501,Europe and Central Asia (WB),WB_ECA,2002,96.9
502,Europe and Central Asia (WB),WB_ECA,2003,96.99
503,Europe and Central Asia (WB),WB_ECA,2004,97.07
504,Europe and Central Asia (WB),WB_ECA,2005,97.19
505,Europe and Central Asia (WB),WB_ECA,2006,97.25
