,entity,code,year,literacy_rate,mf_youth_and_adults__15_64_years__average_years_of_education,population_historical,owid_region
0,Afghanistan,AFG,1870,,0.01,4101170.0,Asia
1,Afghanistan,AFG,1875,,0.01,4193635.0,Asia
2,Afghanistan,AFG,1880,,0.01,4288021.0,Asia
3,Afghanistan,AFG,1885,,0.01,4384343.0,Asia
4,Afghanistan,AFG,1890,,0.01,4482635.0,Asia
5,Afghanistan,AFG,1895,,0.01,4582928.0,Asia
6,Afghanistan,AFG,1900,,0.01,4707744.0,Asia
7,Afghanistan,AFG,1905,,0.01,4982681.0,Asia
8,Afghanistan,AFG,1910,,0.01,5504191.0,Asia
9,Afghanistan,AFG,1915,,0.02,7654918.0,Asia
10,Afghanistan,AFG,1920,,0.03,10188845.0,Asia
11,Afghanistan,AFG,1925,,0.04,8416077.0,Asia
12,Afghanistan,AFG,1930,,0.04,6626142.0,Asia
13,Afghanistan,AFG,1935,,0.05,6409250.0,Asia
14,Afghanistan,AFG,1940,,0.2,6468510.0,Asia
15,Afghanistan,AFG,1945,,0.22,6917471.0,Asia
16,Afghanistan,AFG,1950,3.0,0.28,7776180.0,Asia
17,Afghanistan,AFG,1955,,0.32,8326981.0,Asia
18,Afghanistan,AFG,1960,,0.39,9035048.0,Asia
19,Afghanistan,AFG,1965,,0.44,10036003.0,Asia
20,Afghanistan,AFG,1970,,0.72,11290134.0,Asia
21,Afghanistan,AFG,1975,,0.97,12773966.0,Asia
22,Afghanistan,AFG,1979,18.16,,13655575.0,Asia
23,Afghanistan,AFG,1980,,1.29,13169313.0,Asia
24,Afghanistan,AFG,1985,,1.73,11426855.0,Asia
25,Afghanistan,AFG,1990,,2.06,12045664.0,Asia
26,Afghanistan,AFG,1995,,2.4,17065837.0,Asia
27,Afghanistan,AFG,2000,,3.03,20130334.0,Asia
28,Afghanistan,AFG,2005,,3.32,24404575.0,Asia
29,Afghanistan,AFG,2010,,3.93,28284088.0,Asia
30,Afghanistan,AFG,2011,31.45,,29347708.0,Asia
31,Afghanistan,AFG,2015,33.75,4.81,33831767.0,Asia
32,Afghanistan,AFG,2020,36.014965,5.69,39068977.0,Asia
33,Afghanistan,AFG,2021,37.27,,40000410.0,Asia
34,Africa,OWID_AFR,1870,,0.057632297,122086255.0,
35,Africa,OWID_AFR,1875,,0.0679372,125042995.0,
