,entity,code,year,illiteracy_rate,literacy_rate
0,Afghanistan,AFG,1950,97.0,3.0
1,Afghanistan,AFG,1979,81.84,18.16
2,Afghanistan,AFG,2011,68.55,31.45
3,Afghanistan,AFG,2015,66.25,33.75
4,Afghanistan,AFG,2020,63.985035,36.014965
5,Afghanistan,AFG,2021,62.73,37.27
6,Albania,ALB,1950,27.5,72.5
7,Albania,ALB,2001,1.2900009,98.71
8,Albania,ALB,2008,4.0599976,95.94
9,Albania,ALB,2011,3.1500015,96.85
10,Albania,ALB,2012,2.75,97.25
11,Albania,ALB,2017,1.1900024,98.81
12,Albania,ALB,2023,2.3199997,97.68
13,Algeria,DZA,1950,82.5,17.5
14,Algeria,DZA,1987,50.37,49.63
15,Algeria,DZA,2002,30.129997,69.87
16,Algeria,DZA,2006,27.349998,72.65
17,Algeria,DZA,2008,24.86,75.14
18,American Samoa,ASM,1950,3.5,96.5
19,American Samoa,ASM,1980,2.6600037,97.34
20,Andorra,AND,1950,17.5,82.5
21,Angola,AGO,1950,97.0,3.0
22,Angola,AGO,2001,32.589996,67.41
23,Angola,AGO,2014,33.97,66.03
24,Angola,AGO,2015,33.760002,66.24
25,Angola,AGO,2023,31.82,68.18
26,Anguilla,AIA,1984,4.5899963,95.41
27,Antigua and Barbuda,ATG,1950,17.5,82.5
28,Antigua and Barbuda,ATG,2001,1.050003,98.95
29,Argentina,ARG,1914,35.1,64.9
30,Argentina,ARG,1947,13.6,86.4
31,Argentina,ARG,1950,12.5,87.5
32,Argentina,ARG,1980,6.0899963,93.91
33,Argentina,ARG,1991,3.959999,96.04
34,Argentina,ARG,2001,2.8099976,97.19
35,Argentina,ARG,2020,0.8600006,99.14
36,Armenia,ARM,1989,1.25,98.75
37,Armenia,ARM,2001,0.5999985,99.4
38,Armenia,ARM,2011,0.26000214,99.74
39,Armenia,ARM,2016,0.26000214,99.74
40,Armenia,ARM,2017,0.26000214,99.74
41,Armenia,ARM,2018,0.0,100.0
42,Armenia,ARM,2019,0.0,100.0
43,Armenia,ARM,2020,0.20999908,99.79
44,Armenia,ARM,2022,0.1800003,99.82
45,Armenia,ARM,2023,0.16000366,99.84
46,Aruba,ABW,2000,2.709999,97.29
47,Aruba,ABW,2010,3.1800003,96.82
48,Australia,AUS,1950,1.5,98.5
49,Austria,AUT,1950,1.5,98.5
50,Azerbaijan,AZE,1999,1.2099991,98.79
51,Azerbaijan,AZE,2007,0.41000366,99.59
52,Azerbaijan,AZE,2009,0.23999786,99.76
53,Azerbaijan,AZE,2010,0.23000336,99.77
54,Azerbaijan,AZE,2011,0.22000122,99.78
55,Azerbaijan,AZE,2012,0.22000122,99.78
56,Azerbaijan,AZE,2013,0.20999908,99.79
57,Azerbaijan,AZE,2014,0.20999908,99.79
58,Azerbaijan,AZE,2015,0.20999908,99.79
59,Azerbaijan,AZE,2016,0.20999908,99.79
60,Azerbaijan,AZE,2017,0.20999908,99.79
61,Azerbaijan,AZE,2019,0.19999695,99.8
62,Azerbaijan,AZE,2023,0.22000122,99.78
63,Bahamas,BHS,1950,22.5,77.5
64,Bahrain,BHR,1950,87.5,12.5
65,Bahrain,BHR,1981,30.25,69.75
66,Bahrain,BHR,1991,15.989998,84.01
67,Bahrain,BHR,2001,13.449997,86.55
68,Bahrain,BHR,2022,2.1299973,97.87
69,Bahrain,BHR,2023,2.1500015,97.85
70,Bahrain,BHR,2024,2.1800003,97.82
71,Bangladesh,BGD,1981,70.770004,29.23
72,Bangladesh,BGD,1991,64.68,35.32
73,Bangladesh,BGD,2001,52.51,47.49
74,Bangladesh,BGD,2011,41.23,58.77
75,Bangladesh,BGD,2012,42.14,57.86
76,Bangladesh,BGD,2013,38.98,61.02
77,Bangladesh,BGD,2014,38.91,61.09
78,Bangladesh,BGD,2015,34.86,65.14
79,Bangladesh,BGD,2016,27.239998,72.76
80,Bangladesh,BGD,2017,27.11,72.89
81,Bangladesh,BGD,2018,26.089996,73.91
82,Bangladesh,BGD,2019,25.32,74.68
83,Bangladesh,BGD,2020,25.089996,74.91
84,Bangladesh,BGD,2021,23.64,76.36
85,Bangladesh,BGD,2022,21.0,79.0
86,Barbados,BRB,1950,7.5,92.5
87,Barbados,BRB,1970,0.73000336,99.27
88,Belarus,BLR,1989,2.1200027,97.88
89,Belarus,BLR,1999,0.41000366,99.59
90,Belarus,BLR,2009,0.37999725,99.62
91,Belarus,BLR,2019,0.12999725,99.87
92,Belgium,BEL,1475,90.0,10.0
93,Belgium,BEL,1550,83.0,17.0
94,Belgium,BEL,1650,75.0,25.0
95,Belgium,BEL,1750,87.0,13.0
96,Belgium,BEL,1900,19.6,80.4
97,Belgium,BEL,1910,13.4,86.6
98,Belgium,BEL,1920,7.8,92.2
99,Belgium,BEL,1930,5.9,94.1
100,Belgium,BEL,1950,3.5,96.5
101,Belize,BLZ,1950,22.5,77.5
102,Belize,BLZ,1991,29.699997,70.3
103,Belize,BLZ,2000,23.099998,76.9
104,Belize,BLZ,2015,9.080002,90.92
105,Belize,BLZ,2022,12.120003,87.88
106,Benin,BEN,1979,83.520004,16.48
107,Benin,BEN,1992,72.75,27.25
108,Benin,BEN,2002,65.34,34.66
109,Benin,BEN,2011,55.31188,44.68812
110,Benin,BEN,2013,54.92,45.08
111,Benin,BEN,2017,61.13,38.87
112,Benin,BEN,2019,51.0,49.0
113,Benin,BEN,2021,56.17,43.83
114,Benin,BEN,2022,48.62,51.38
115,Bermuda,BMU,1950,3.5,96.5
116,Bhutan,BTN,1950,97.0,3.0
