,entity,code,year,youth_literacy_rate__population_15_24_years__male__pct__lr_ag15t24_m,youth_literacy_rate__population_15_24_years__female__pct__lr_ag15t24_f,owid_region
0,Afghanistan,AFG,1979,45.8,11.14,Asia
1,Afghanistan,AFG,2011,61.88,32.11,Asia
2,Afghanistan,AFG,2015,57.74,25.48,Asia
3,Afghanistan,AFG,2020,68.800964,40.055595,Asia
4,Afghanistan,AFG,2021,71.24,41.59,Asia
5,Afghanistan,AFG,2022,83.4,44.17,Asia
6,Albania,ALB,2001,99.37,99.5,Europe
7,Albania,ALB,2005,,99.49,Europe
8,Albania,ALB,2008,98.54,99.12,Europe
9,Albania,ALB,2009,94.82,96.61,Europe
10,Albania,ALB,2011,98.73,98.86,Europe
11,Albania,ALB,2012,99.38,99.02,Europe
12,Albania,ALB,2017,98.59,99.53,Europe
13,Albania,ALB,2023,98.92,99.21,Europe
14,Algeria,DZA,1987,86.23,62.21,Africa
15,Algeria,DZA,2002,94.06,86.13,Africa
16,Algeria,DZA,2006,94.38,89.14,Africa
17,Algeria,DZA,2008,95.75,91.74,Africa
18,Algeria,DZA,2019,,97.99,Africa
19,American Samoa,ASM,1980,97.89,97.44,Oceania
20,Angola,AGO,2001,83.78,63.18,Africa
21,Angola,AGO,2014,84.86,70.59,Africa
22,Angola,AGO,2015,83.97,67.43,Africa
23,Angola,AGO,2023,87.79,73.41,Africa
24,Anguilla,AIA,1984,99.12,99.1,North America
25,Argentina,ARG,1980,96.46,97.3,South America
26,Argentina,ARG,1991,98.07,98.54,South America
27,Argentina,ARG,2001,98.71,99.13,South America
28,Argentina,ARG,2020,99.48,99.87,South America
29,Armenia,ARM,1989,99.91,99.91,Asia
30,Armenia,ARM,2000,100.0,100.0,Asia
31,Armenia,ARM,2001,99.75,99.86,Asia
32,Armenia,ARM,2011,99.82,99.88,Asia
33,Armenia,ARM,2016,99.82,99.88,Asia
34,Armenia,ARM,2017,99.82,99.87,Asia
35,Armenia,ARM,2018,100.0,100.0,Asia
36,Armenia,ARM,2019,100.0,100.0,Asia
37,Armenia,ARM,2020,99.85,99.9,Asia
38,Armenia,ARM,2022,99.65,99.92,Asia
39,Armenia,ARM,2023,99.91,99.87,Asia
40,Aruba,ABW,2000,98.88,99.17,North America
41,Aruba,ABW,2010,98.97,99.32,North America
42,Azerbaijan,AZE,1999,99.87,99.9,Asia
43,Azerbaijan,AZE,2006,100.0,100.0,Asia
44,Azerbaijan,AZE,2007,99.99,99.99,Asia
45,Azerbaijan,AZE,2009,99.96,99.95,Asia
46,Azerbaijan,AZE,2010,99.97,99.93,Asia
47,Azerbaijan,AZE,2011,99.96,99.93,Asia
48,Azerbaijan,AZE,2012,99.95,99.92,Asia
49,Azerbaijan,AZE,2013,99.98,99.93,Asia
50,Azerbaijan,AZE,2014,99.98,99.94,Asia
51,Azerbaijan,AZE,2015,99.96,99.92,Asia
52,Azerbaijan,AZE,2016,99.96,99.92,Asia
53,Azerbaijan,AZE,2017,99.96,99.91,Asia
54,Azerbaijan,AZE,2019,99.96,99.91,Asia
55,Azerbaijan,AZE,2023,99.88,99.88,Asia
56,Bahrain,BHR,1981,89.69,82.08,Asia
57,Bahrain,BHR,1991,97.26,96.58,Asia
58,Bahrain,BHR,2001,96.83,97.25,Asia
59,Bahrain,BHR,2022,99.38,98.95,Asia
60,Bahrain,BHR,2023,99.28,99.21,Asia
61,Bahrain,BHR,2024,99.51,99.53,Asia
62,Bangladesh,BGD,1981,44.36,27.15,Asia
63,Bangladesh,BGD,1991,51.74,37.99,Asia
64,Bangladesh,BGD,2000,100.0,100.0,Asia
65,Bangladesh,BGD,2001,67.16,60.26,Asia
66,Bangladesh,BGD,2006,,87.2,Asia
67,Bangladesh,BGD,2007,90.51,77.09,Asia
68,Bangladesh,BGD,2011,76.4,79.54,Asia
69,Bangladesh,BGD,2012,76.28,79.37,Asia
70,Bangladesh,BGD,2013,84.09,86.93,Asia
71,Bangladesh,BGD,2014,84.63,86.48,Asia
72,Bangladesh,BGD,2015,86.19,89.54,Asia
73,Bangladesh,BGD,2016,90.91,93.54,Asia
74,Bangladesh,BGD,2017,91.54,94.38,Asia
75,Bangladesh,BGD,2018,91.8,94.91,Asia
76,Bangladesh,BGD,2019,93.7,96.09,Asia
77,Bangladesh,BGD,2020,93.16,95.86,Asia
78,Bangladesh,BGD,2021,93.76,95.86,Asia
79,Bangladesh,BGD,2022,92.39,94.45,Asia
80,Barbados,BRB,1970,99.72,99.8,North America
81,Barbados,BRB,2012,100.0,100.0,North America
82,Belarus,BLR,1989,99.73,99.8,Europe
83,Belarus,BLR,1999,99.76,99.83,Europe
84,Belarus,BLR,2005,,99.98,Europe
85,Belarus,BLR,2009,99.8,99.85,Europe
86,Belarus,BLR,2012,100.0,100.0,Europe
87,Belarus,BLR,2019,99.85,99.9,Europe
88,Belize,BLZ,1991,77.26,78.02,North America
89,Belize,BLZ,2000,83.9,84.54,North America
90,Belize,BLZ,2006,,95.13,North America
91,Belize,BLZ,2011,,96.6,North America
92,Belize,BLZ,2015,97.83,98.08,North America
93,Belize,BLZ,2022,95.67,96.63,North America
94,Benin,BEN,1979,45.71,18.26,Africa
95,Benin,BEN,1992,55.13,26.69,Africa
96,Benin,BEN,2001,61.08,31.85,Africa
