,entity,code,year,illiteracy_rate,literacy_rate
2,Afghanistan,AFG,2011,68.55,31.45
3,Afghanistan,AFG,2015,66.25,33.75
4,Afghanistan,AFG,2020,63.985035,36.014965
5,Afghanistan,AFG,2021,62.73,37.27
7,Albania,ALB,2001,1.2900009,98.71
8,Albania,ALB,2008,4.0599976,95.94
9,Albania,ALB,2011,3.1500015,96.85
10,Albania,ALB,2012,2.75,97.25
11,Albania,ALB,2017,1.1900024,98.81
12,Albania,ALB,2023,2.3199997,97.68
15,Algeria,DZA,2002,30.129997,69.87
16,Algeria,DZA,2006,27.349998,72.65
17,Algeria,DZA,2008,24.86,75.14
22,Angola,AGO,2001,32.589996,67.41
23,Angola,AGO,2014,33.97,66.03
24,Angola,AGO,2015,33.760002,66.24
25,Angola,AGO,2023,31.82,68.18
28,Antigua and Barbuda,ATG,2001,1.050003,98.95
33,Argentina,ARG,1991,3.959999,96.04
34,Argentina,ARG,2001,2.8099976,97.19
35,Argentina,ARG,2020,0.8600006,99.14
37,Armenia,ARM,2001,0.5999985,99.4
38,Armenia,ARM,2011,0.26000214,99.74
39,Armenia,ARM,2016,0.26000214,99.74
40,Armenia,ARM,2017,0.26000214,99.74
41,Armenia,ARM,2018,0.0,100.0
42,Armenia,ARM,2019,0.0,100.0
43,Armenia,ARM,2020,0.20999908,99.79
44,Armenia,ARM,2022,0.1800003,99.82
45,Armenia,ARM,2023,0.16000366,99.84
46,Aruba,ABW,2000,2.709999,97.29
47,Aruba,ABW,2010,3.1800003,96.82
50,Azerbaijan,AZE,1999,1.2099991,98.79
51,Azerbaijan,AZE,2007,0.41000366,99.59
52,Azerbaijan,AZE,2009,0.23999786,99.76
53,Azerbaijan,AZE,2010,0.23000336,99.77
54,Azerbaijan,AZE,2011,0.22000122,99.78
55,Azerbaijan,AZE,2012,0.22000122,99.78
56,Azerbaijan,AZE,2013,0.20999908,99.79
57,Azerbaijan,AZE,2014,0.20999908,99.79
58,Azerbaijan,AZE,2015,0.20999908,99.79
59,Azerbaijan,AZE,2016,0.20999908,99.79
60,Azerbaijan,AZE,2017,0.20999908,99.79
61,Azerbaijan,AZE,2019,0.19999695,99.8
62,Azerbaijan,AZE,2023,0.22000122,99.78
66,Bahrain,BHR,1991,15.989998,84.01
67,Bahrain,BHR,2001,13.449997,86.55
68,Bahrain,BHR,2022,2.1299973,97.87
69,Bahrain,BHR,2023,2.1500015,97.85
70,Bahrain,BHR,2024,2.1800003,97.82
72,Bangladesh,BGD,1991,64.68,35.32
73,Bangladesh,BGD,2001,52.51,47.49
74,Bangladesh,BGD,2011,41.23,58.77
75,Bangladesh,BGD,2012,42.14,57.86
76,Bangladesh,BGD,2013,38.98,61.02
77,Bangladesh,BGD,2014,38.91,61.09
78,Bangladesh,BGD,2015,34.86,65.14
79,Bangladesh,BGD,2016,27.239998,72.76
80,Bangladesh,BGD,2017,27.11,72.89
81,Bangladesh,BGD,2018,26.089996,73.91
82,Bangladesh,BGD,2019,25.32,74.68
83,Bangladesh,BGD,2020,25.089996,74.91
84,Bangladesh,BGD,2021,23.64,76.36
85,Bangladesh,BGD,2022,21.0,79.0
89,Belarus,BLR,1999,0.41000366,99.59
90,Belarus,BLR,2009,0.37999725,99.62
91,Belarus,BLR,2019,0.12999725,99.87
102,Belize,BLZ,1991,29.699997,70.3
103,Belize,BLZ,2000,23.099998,76.9
104,Belize,BLZ,2015,9.080002,90.92
105,Belize,BLZ,2022,12.120003,87.88
107,Benin,BEN,1992,72.75,27.25
108,Benin,BEN,2002,65.34,34.66
109,Benin,BEN,2011,55.31188,44.68812
110,Benin,BEN,2013,54.92,45.08
111,Benin,BEN,2017,61.13,38.87
112,Benin,BEN,2019,51.0,49.0
113,Benin,BEN,2021,56.17,43.83
114,Benin,BEN,2022,48.62,51.38
117,Bhutan,BTN,2005,47.19,52.81
118,Bhutan,BTN,2012,44.68,55.32
119,Bhutan,BTN,2017,33.440002,66.56
120,Bhutan,BTN,2022,35.089996,64.91
123,Bolivia,BOL,1992,20.010002,79.99
124,Bolivia,BOL,2001,13.279999,86.72
125,Bolivia,BOL,2007,9.709999,90.29
126,Bolivia,BOL,2008,9.300003,90.7
127,Bolivia,BOL,2009,8.830002,91.17
128,Bolivia,BOL,2011,7.7699966,92.23
129,Bolivia,BOL,2012,5.540001,94.46
130,Bolivia,BOL,2015,7.540001,92.46
131,Bolivia,BOL,2020,6.1500015,93.85
132,Bolivia,BOL,2023,4.449997,95.55
133,Bolivia,BOL,2024,3.2699966,96.73
134,Bosnia and Herzegovina,BIH,1991,10.940002,89.06
135,Bosnia and Herzegovina,BIH,2000,3.3399963,96.66
136,Bosnia and Herzegovina,BIH,2013,3.0100021,96.99
138,Botswana,BWA,1991,31.419998,68.58
139,Botswana,BWA,2003,18.809998,81.19
145,Brazil,BRA,2000,13.629997,86.37
146,Brazil,BRA,2004,11.379997,88.62
147,Brazil,BRA,2006,10.379997,89.62
148,Brazil,BRA,2007,9.989998,90.01
149,Brazil,BRA,2008,9.959999,90.04
150,Brazil,BRA,2009,9.699997,90.3
151,Brazil,BRA,2010,9.620003,90.38
152,Brazil,BRA,2011,8.589996,91.41
153,Brazil,BRA,2012,8.660004,91.34
154,Brazil,BRA,2013,8.519997,91.48
155,Brazil,BRA,2014,8.269997,91.73
156,Brazil,BRA,2015,7.949997,92.05
157,Brazil,BRA,2016,7.1900024,92.81
158,Brazil,BRA,2017,6.919998,93.08
159,Brazil,BRA,2018,6.7699966,93.23
160,Brazil,BRA,2019,6.107376,93.892624
161,Brazil,BRA,2020,5.2555923,94.74441
162,Brazil,BRA,2021,5.2273865,94.77261
163,Brazil,BRA,2022,5.623131,94.37687
164,Brazil,BRA,2023,5.427452,94.57255
165,Brazil,BRA,2024,5.260002,94.74
168,Brunei,BRN,1991,12.199997,87.8
169,Brunei,BRN,2001,7.330002,92.67
170,Brunei,BRN,2011,3.9100037,96.09
178,Bulgaria,BGR,2001,1.800003,98.2
179,Bulgaria,BGR,2011,1.6500015,98.35
181,Burkina Faso,BFA,1991,86.43,13.57
182,Burkina Faso,BFA,1996,87.15,12.85
183,Burkina Faso,BFA,2003,78.18,21.82
184,Burkina Faso,BFA,2005,76.479996,23.52
185,Burkina Faso,BFA,2006,77.53,22.47
186,Burkina Faso,BFA,2007,72.12,27.88
187,Burkina Faso,BFA,2014,65.4,34.6
188,Burkina Faso,BFA,2018,60.65,39.35
189,Burkina Faso,BFA,2019,70.34,29.66
190,Burkina Faso,BFA,2021,63.03,36.97
191,Burkina Faso,BFA,2022,59.08,40.92
192,Burkina Faso,BFA,2023,58.432907,41.567093
194,Burundi,BDI,1990,62.62,37.38
195,Burundi,BDI,2000,40.7,59.3
196,Burundi,BDI,2008,51.92,48.08
197,Burundi,BDI,2014,38.71,61.29
198,Burundi,BDI,2016,34.309998,65.69
199,Burundi,BDI,2017,31.620003,68.38
200,Burundi,BDI,2020,28.662521,71.33748
202,Cambodia,KHM,1998,32.660004,67.34
203,Cambodia,KHM,2004,26.39,73.61
204,Cambodia,KHM,2008,23.129997,76.87
205,Cambodia,KHM,2009,23.86,76.14
206,Cambodia,KHM,2013,20.349998,79.65
207,Cambodia,KHM,2014,21.940002,78.06
208,Cambodia,KHM,2015,19.470001,80.53
209,Cambodia,KHM,2019,12.339996,87.66
