,entity,code,year,adult_literacy_rate,youth_literacy_rate_male,youth_literacy_rate_female,owid_region
1,Afghanistan,AFG,2011,31.45,61.88,32.11,Asia
2,Afghanistan,AFG,2015,33.75,57.74,25.48,Asia
3,Afghanistan,AFG,2020,36.014965,68.800964,40.055595,Asia
4,Afghanistan,AFG,2021,37.27,71.24,41.59,Asia
5,Albania,ALB,2001,98.71,99.37,99.5,Europe
6,Albania,ALB,2008,95.94,98.54,99.12,Europe
7,Albania,ALB,2011,96.85,98.73,98.86,Europe
8,Albania,ALB,2012,97.25,99.38,99.02,Europe
9,Albania,ALB,2017,98.81,98.59,99.53,Europe
10,Albania,ALB,2023,97.68,98.92,99.21,Europe
12,Algeria,DZA,2002,69.87,94.06,86.13,Africa
13,Algeria,DZA,2006,72.65,94.38,89.14,Africa
14,Algeria,DZA,2008,75.14,95.75,91.74,Africa
16,Angola,AGO,2001,67.41,83.78,63.18,Africa
17,Angola,AGO,2014,66.03,84.86,70.59,Africa
18,Angola,AGO,2015,66.24,83.97,67.43,Africa
19,Angola,AGO,2023,68.18,87.79,73.41,Africa
22,Argentina,ARG,1991,96.04,98.07,98.54,South America
23,Argentina,ARG,2001,97.19,98.71,99.13,South America
24,Argentina,ARG,2020,99.14,99.48,99.87,South America
26,Armenia,ARM,2001,99.4,99.75,99.86,Asia
27,Armenia,ARM,2011,99.74,99.82,99.88,Asia
28,Armenia,ARM,2016,99.74,99.82,99.88,Asia
29,Armenia,ARM,2017,99.74,99.82,99.87,Asia
30,Armenia,ARM,2018,100.0,100.0,100.0,Asia
31,Armenia,ARM,2019,100.0,100.0,100.0,Asia
32,Armenia,ARM,2020,99.79,99.85,99.9,Asia
33,Armenia,ARM,2022,99.82,99.65,99.92,Asia
34,Armenia,ARM,2023,99.84,99.91,99.87,Asia
35,Aruba,ABW,2000,97.29,98.88,99.17,North America
36,Aruba,ABW,2010,96.82,98.97,99.32,North America
37,Azerbaijan,AZE,1999,98.79,99.87,99.9,Asia
38,Azerbaijan,AZE,2007,99.59,99.99,99.99,Asia
39,Azerbaijan,AZE,2009,99.76,99.96,99.95,Asia
40,Azerbaijan,AZE,2010,99.77,99.97,99.93,Asia
41,Azerbaijan,AZE,2011,99.78,99.96,99.93,Asia
